 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 185100  61232  10332 308296    4   34   212    53 1506  394  1 36 64  0  0
 0  0 185100  61232  10332 308308    0    0     0     0  181  668  0  1 99  0  0
 0  0 185100  61232  10332 308308    0    0     0     0  130  401  1  2 97  0  0
 1  0 185100  61232  10332 308308    0    0     0     0   96  229  0  0 100  0  0
 1  0 185100  61232  10332 308308    0    0     0     0  296 1194  0  1 99  0  0
 0  0 185100  61232  10332 308308    0    0     0     0   90  240  0  0 100  0  0
 0  0 185100  61232  10344 308308    0    0     0    36   93  218  0  0 100  0  0
 0  0 185100  61232  10344 308308    0    0     0     0  101  254  0  0 100  0  0
 1  0 185100  60560  10344 308420    0    0   120     0  198  364  1  2 97  0  0
 0  0 185100  60112  10344 308432    0    0     0     0  636  411  0 19 81  0  0
 1  0 185100  60112  10344 308436    0    0     0     0  636  440  0 19 81  0  0
 1  0 185100  59664  10344 308436    0    0     0     0  966  437  0 34 66  0  0
 2  0 185100  59440  10352 308440    0    0     0   640  812  406  0 25 75  0  0
 0  0 185100  59440  10352 308444    0    0     0     0 1040  407  0 37 63  0  0
 1  0 185100  59440  10352 308444    0    0     0     0  631  369  0 19 81  0  0
 1  0 185100  59440  10352 308448    0    0     0     0  819  386  0 27 73  0  0
 0  0 185100  59440  10352 308448    0    0     0     0  651  372  0 20 80  0  0
 0  0 185100  59440  10364 308452    0    0     0    52  703  376  0 20 79  1  0
 0  0 185100  59440  10364 308456    0    0     0     0 1140  500  0 32 68  0  0
 1  0 185100  59440  10364 308452    0    0     0     0  799  357  0 21 79  0  0
 0  0 185100  59440  10364 308456    0    0     0     0 1318  406  0 43 57  0  0
 0  0 185100  59216  10364 308456    0    0     0     0  792  351  0 22 78  0  0
 0  0 185100  59216  10376 308460    0    0     0    84  668  379  0 20 80  0  0
 0  0 185100  59216  10376 308464    0    0     0     0  806  363  0 21 79  0  0
 0  0 185100  59216  10376 308464    0    0     0     0  767  353  0 26 74  0  0
 0  0 185100  59216  10376 308468    0    0     0     0  864  397  0 29 71  0  0
 0  0 185100  58992  10376 308468    0    0     0     0  783  367  0 27 73  0  0
 1  0 185100  58992  10384 308472    0    0     0    16  573  364  0 17 83  0  0
 1  0 185100  58992  10384 308476    0    0     0     0  678  349  0 21 79  0  0
 2  0 185100  58768  10384 308476    0    0     0     0 1065  387  0 37 63  0  0
 1  0 185100  58768  10384 308480    0    0     0     0  719  381  0 24 76  0  0
 3  0 185100  58768  10384 308480    0    0     0     0  581  343  0 18 82  0  0
 0  0 185100  58768  10392 308484    0    0     0    16 1021  389  0 32 68  0  0
 0  0 185100  58768  10392 308488    0    0     0     0  715  353  0 24 76  0  0
 0  0 185100  58320  10392 308488    0    0     0     0  569  389  0 18 82  0  0
 0  0 185100  58320  10392 308492    0    0     0     0  606  353  0 19 81  0  0
 1  0 185100  58320  10392 308492    0    0     0     0  789  413  0 27 73  0  0
 0  0 185100  58320  10400 308496    0    0     0    16  717  366  0 27 73  0  0
 0  0 185100  58096  10400 308496    0    0     0     0  588  379  0 17 83  0  0
 0  0 185100  58096  10400 308500    0    0     0     0  506  363  0 17 83  0  0
 1  0 185100  58096  10400 308504    0    0     0     0  673  363  0 23 77  0  0
 0  0 185100  58096  10400 308504    0    0     0     0  660  345  0 21 79  0  0
 0  0 185100  58096  10408 308508    0    0     0    96  440  345  0 12 88  0  0
 0  0 185100  58096  10408 308508    0    0     0     0  733  393  0 23 77  0  0
 0  0 185100  58096  10408 308512    0    0     0     0  817  363  1 30 69  0  0
